Energy_Source,Transport,Frequency of Transport,Waste Production,How Long Machine Works Daily,Machine repairing(in Months),Energy efficiency,Recycling Waste,CarbonEmission
electricity,public,very frequently,medium Scale,7,1,Sometimes,YES,1816
coal,private,rarely,small Scale,16,2,No,YES,4638
coal,private,rarely,small Scale,16,0,Sometimes,YES,1909
natural gas,public,frequently,large Scale,2,1,Yes,YES,2021
natural gas,public,rarely,large Scale,4,0,No,YES,1896
electricity,private,frequently,small Scale,11,1,No,YES,1770
wood,private,rarely,small Scale,12,2,No,YES,1323
wood,public,very frequently,small Scale,21,1,Yes,YES,2269
wood,public,rarely,Mega Scale,20,2,Yes,YES,1918
natural gas,public,very frequently,small Scale,8,2,Yes,YES,2477
natural gas,private,frequently,large Scale,6,0,No,YES,1444
natural gas,private,rarely,small Scale,15,2,Sometimes,YES,1254
electricity,public,rarely,small Scale,19,2,No,YES,1411
wood,public,rarely,Mega Scale,7,0,No,YES,1605
electricity,private,rarely,medium Scale,7,0,No,YES,3054
natural gas,public,very frequently,Mega Scale,9,1,Yes,NO,2902
electricity,private,frequently,large Scale,22,0,Yes,YES,4301
electricity,private,very frequently,small Scale,12,2,Yes,YES,2308
wood,private,frequently,medium Scale,17,2,No,YES,4132
wood,private,frequently,medium Scale,1,2,No,YES,2993
wood,private,frequently,medium Scale,7,1,Yes,YES,3098
coal,public,rarely,Mega Scale,19,0,Yes,YES,1364
coal,private,rarely,large Scale,15,1,Yes,YES,2941
electricity,public,frequently,large Scale,6,0,Sometimes,YES,1349
natural gas,public,rarely,medium Scale,24,1,Yes,YES,1038
wood,public,rarely,medium Scale,16,1,No,YES,1815
coal,private,very frequently,Mega Scale,13,1,No,YES,2566
wood,private,very frequently,medium Scale,2,1,Sometimes,YES,2439
electricity,private,very frequently,small Scale,9,0,Yes,YES,2056
natural gas,public,very frequently,medium Scale,2,0,Sometimes,YES,2299
electricity,public,rarely,large Scale,15,1,Sometimes,YES,1492
coal,private,rarely,medium Scale,12,2,No,YES,1692
wood,private,frequently,Mega Scale,15,1,Yes,YES,2581
wood,private,rarely,large Scale,0,0,Sometimes,YES,950
coal,private,rarely,small Scale,10,0,Sometimes,YES,1923
wood,private,rarely,Mega Scale,19,2,Yes,YES,1751
coal,public,very frequently,small Scale,1,2,Sometimes,YES,2562
wood,private,frequently,large Scale,9,1,No,YES,2456
electricity,public,rarely,Mega Scale,22,0,Sometimes,YES,657
electricity,public,very frequently,small Scale,21,0,No,YES,1758
natural gas,public,frequently,medium Scale,2,2,Sometimes,YES,2184
coal,public,very frequently,Mega Scale,14,1,No,YES,3009
wood,private,very frequently,large Scale,8,2,Yes,YES,3748
electricity,private,rarely,small Scale,2,1,No,NO,1122
wood,private,rarely,small Scale,21,0,No,YES,2810
electricity,private,rarely,medium Scale,24,1,No,YES,1346
natural gas,private,rarely,small Scale,15,0,Yes,YES,671
wood,public,frequently,Mega Scale,19,2,Yes,YES,1695
electricity,public,rarely,large Scale,6,0,No,YES,810
wood,private,frequently,Mega Scale,1,2,Yes,YES,2768
natural gas,public,rarely,large Scale,11,0,Sometimes,YES,1033
coal,public,rarely,large Scale,6,1,No,YES,2046
coal,private,rarely,small Scale,23,1,No,YES,2171
coal,public,rarely,medium Scale,21,0,Yes,YES,1312
wood,public,rarely,large Scale,24,0,No,YES,1209
coal,private,frequently,small Scale,7,2,Sometimes,YES,4017
wood,private,rarely,Mega Scale,13,0,No,YES,877
electricity,private,rarely,medium Scale,8,1,Yes,YES,1856
wood,private,rarely,medium Scale,20,1,No,YES,2197
electricity,private,very frequently,large Scale,15,0,Sometimes,YES,4281
electricity,private,frequently,small Scale,17,0,Yes,YES,3480
natural gas,private,rarely,medium Scale,22,2,Sometimes,YES,953
natural gas,private,frequently,small Scale,9,2,Yes,YES,2046
coal,private,rarely,large Scale,12,2,Sometimes,YES,2521
wood,public,very frequently,large Scale,1,2,Yes,YES,3551
wood,public,rarely,medium Scale,14,2,Yes,YES,1459
electricity,public,very frequently,Mega Scale,8,1,No,YES,2492
coal,public,frequently,large Scale,10,1,No,YES,2411
coal,public,very frequently,large Scale,15,0,Yes,YES,2761
wood,public,rarely,Mega Scale,7,1,Sometimes,YES,1500
wood,private,rarely,Mega Scale,18,0,Sometimes,YES,1708
coal,public,rarely,Mega Scale,19,0,No,YES,1717
wood,public,frequently,medium Scale,23,2,No,YES,2135
wood,private,rarely,small Scale,5,0,Sometimes,YES,2042
wood,private,rarely,small Scale,20,2,Sometimes,YES,1221
natural gas,private,very frequently,Mega Scale,0,2,No,YES,3473
electricity,public,rarely,large Scale,12,2,Sometimes,YES,1378
electricity,private,very frequently,Mega Scale,21,2,Yes,YES,2135
wood,private,rarely,small Scale,11,2,No,YES,1464
coal,public,very frequently,Mega Scale,22,0,Yes,YES,2816
wood,public,very frequently,medium Scale,17,1,No,YES,2210
natural gas,private,rarely,small Scale,1,2,No,YES,1552
coal,private,frequently,small Scale,24,2,No,YES,2406
natural gas,public,very frequently,Mega Scale,17,1,Sometimes,YES,3004
wood,private,rarely,large Scale,14,0,Sometimes,YES,2540
natural gas,private,rarely,Mega Scale,5,0,Yes,YES,2424
coal,private,rarely,Mega Scale,6,0,Yes,YES,4000
natural gas,public,rarely,Mega Scale,16,1,No,YES,1288
natural gas,public,rarely,medium Scale,16,2,Yes,YES,2317
coal,public,very frequently,large Scale,9,1,Yes,YES,2730
wood,private,rarely,small Scale,3,1,Yes,YES,1371
natural gas,private,rarely,small Scale,3,2,Sometimes,YES,2349
natural gas,private,rarely,large Scale,7,1,Sometimes,YES,4536
wood,public,very frequently,Mega Scale,2,2,No,YES,2987
wood,public,rarely,medium Scale,1,1,Sometimes,YES,1039
wood,public,rarely,medium Scale,10,1,No,YES,1036
natural gas,private,frequently,Mega Scale,13,0,Sometimes,NO,3620
natural gas,public,rarely,small Scale,8,1,Sometimes,YES,1009
natural gas,private,very frequently,small Scale,6,0,Yes,YES,2895
electricity,private,rarely,Mega Scale,21,1,Yes,YES,4294
wood,private,frequently,Mega Scale,13,2,No,YES,3429
natural gas,public,rarely,medium Scale,11,0,Yes,YES,1334
wood,public,very frequently,large Scale,13,2,No,YES,3697
natural gas,public,rarely,small Scale,7,1,Sometimes,YES,1494
coal,public,very frequently,Mega Scale,1,0,No,YES,2779
coal,private,rarely,small Scale,7,0,No,YES,993
coal,public,rarely,Mega Scale,20,1,Sometimes,YES,1944
coal,public,frequently,small Scale,1,0,No,YES,1474
natural gas,private,frequently,small Scale,1,0,Yes,NO,1880
coal,private,frequently,large Scale,15,0,Yes,NO,3535
wood,private,rarely,medium Scale,17,2,Sometimes,YES,1644
natural gas,private,frequently,Mega Scale,2,0,Sometimes,YES,1268
natural gas,private,rarely,small Scale,19,0,Sometimes,YES,1529
electricity,public,rarely,Mega Scale,10,2,Yes,YES,2076
electricity,public,rarely,large Scale,5,2,Sometimes,YES,1850
natural gas,public,rarely,small Scale,10,0,Sometimes,YES,1000
electricity,public,rarely,small Scale,6,2,Sometimes,NO,1485
coal,public,rarely,medium Scale,14,1,No,YES,1139
natural gas,private,rarely,large Scale,8,0,No,YES,682
natural gas,private,rarely,large Scale,8,0,Yes,YES,926
coal,private,rarely,small Scale,17,0,Yes,YES,1037
electricity,public,very frequently,small Scale,1,0,No,YES,1467
natural gas,private,rarely,medium Scale,5,0,Sometimes,YES,914
electricity,public,frequently,Mega Scale,22,2,No,YES,1741
coal,public,very frequently,small Scale,19,2,Yes,YES,2742
wood,private,rarely,large Scale,1,0,No,YES,2988
coal,public,frequently,medium Scale,20,2,Sometimes,YES,2160
natural gas,public,frequently,large Scale,5,2,Yes,YES,3098
wood,public,very frequently,Mega Scale,10,2,Sometimes,YES,2764
wood,private,frequently,medium Scale,16,0,No,YES,2335
wood,private,frequently,medium Scale,12,1,Sometimes,YES,1462
coal,public,frequently,small Scale,5,1,Sometimes,YES,2356
coal,public,rarely,medium Scale,19,2,No,YES,1731
coal,public,rarely,medium Scale,22,1,No,YES,1162
coal,private,frequently,Mega Scale,11,0,No,YES,1884
wood,private,rarely,small Scale,1,1,Sometimes,YES,1505
wood,public,rarely,small Scale,11,0,Yes,YES,1252
electricity,public,rarely,medium Scale,9,1,No,YES,1360
coal,public,very frequently,large Scale,15,2,Sometimes,YES,3824
coal,private,very frequently,small Scale,14,1,Sometimes,YES,4580
coal,private,rarely,Mega Scale,24,2,Sometimes,YES,2833
electricity,private,rarely,Mega Scale,17,2,Yes,YES,1131
electricity,public,very frequently,small Scale,24,1,No,NO,2382
wood,private,frequently,Mega Scale,12,2,Sometimes,YES,2649
wood,private,rarely,small Scale,17,1,Yes,YES,2706
electricity,private,very frequently,medium Scale,24,1,Sometimes,YES,3045
wood,private,rarely,small Scale,0,2,Sometimes,YES,3134
wood,private,very frequently,Mega Scale,2,1,No,YES,3619
wood,private,very frequently,small Scale,21,2,Yes,YES,5013
coal,private,very frequently,medium Scale,17,1,Yes,YES,2443
wood,public,rarely,small Scale,2,0,Sometimes,YES,488
wood,public,rarely,Mega Scale,4,2,Sometimes,YES,2409
wood,private,very frequently,large Scale,10,2,Sometimes,YES,7159
natural gas,public,very frequently,medium Scale,13,1,Yes,YES,2670
wood,public,very frequently,large Scale,19,2,No,YES,2321
coal,public,rarely,small Scale,14,1,Sometimes,YES,1574
coal,public,very frequently,medium Scale,20,0,Yes,YES,2471
electricity,private,frequently,small Scale,14,1,No,YES,2541
wood,private,very frequently,medium Scale,0,1,Yes,YES,2298
electricity,public,rarely,large Scale,18,1,No,YES,1445
natural gas,private,rarely,Mega Scale,12,0,Sometimes,YES,4240
coal,public,very frequently,small Scale,4,2,Yes,YES,2650
coal,private,rarely,medium Scale,3,0,No,YES,1033
electricity,private,rarely,small Scale,21,1,No,YES,990
electricity,public,rarely,large Scale,13,0,Yes,YES,937
electricity,private,frequently,medium Scale,3,1,No,YES,3483
natural gas,private,very frequently,large Scale,5,1,No,YES,6515
wood,public,very frequently,small Scale,8,1,No,YES,2929
wood,private,rarely,large Scale,11,2,No,YES,2377
coal,private,frequently,small Scale,7,0,No,YES,1252
wood,private,rarely,Mega Scale,9,0,No,NO,1874
natural gas,private,rarely,small Scale,8,2,Sometimes,YES,1579
natural gas,private,rarely,Mega Scale,23,0,Sometimes,YES,974
electricity,public,very frequently,small Scale,15,2,Yes,YES,2607
natural gas,public,frequently,large Scale,24,1,No,YES,2054
coal,public,rarely,small Scale,7,1,Sometimes,YES,1662
natural gas,public,rarely,Mega Scale,5,1,Yes,YES,1463
wood,private,rarely,small Scale,19,2,No,YES,1143
wood,private,rarely,medium Scale,7,2,Sometimes,NO,2790
natural gas,public,rarely,Mega Scale,5,2,Sometimes,YES,2629
wood,private,frequently,medium Scale,15,0,No,YES,2338
coal,private,rarely,large Scale,21,2,No,YES,3984
natural gas,public,rarely,small Scale,20,2,Sometimes,YES,1253
natural gas,public,rarely,medium Scale,10,1,No,YES,1480
natural gas,private,rarely,medium Scale,4,2,No,YES,1556
natural gas,public,rarely,medium Scale,8,2,Yes,NO,1847
natural gas,private,rarely,medium Scale,19,0,Sometimes,YES,2778
coal,public,rarely,small Scale,14,2,No,YES,1828
wood,private,rarely,large Scale,15,2,Yes,YES,1684
coal,public,very frequently,Mega Scale,15,2,Yes,YES,3503
natural gas,public,very frequently,medium Scale,12,2,No,YES,2540
wood,public,rarely,Mega Scale,11,1,Sometimes,YES,838
coal,private,very frequently,medium Scale,17,1,No,YES,3559
electricity,public,frequently,medium Scale,15,0,No,YES,1237
coal,public,frequently,medium Scale,1,0,Sometimes,YES,1406
natural gas,public,frequently,medium Scale,5,0,Sometimes,YES,1812
natural gas,public,very frequently,large Scale,17,1,Sometimes,YES,2784
electricity,public,very frequently,Mega Scale,24,0,Sometimes,YES,2554
wood,private,rarely,small Scale,0,1,Sometimes,YES,1203
coal,public,rarely,large Scale,11,0,No,YES,1167
coal,public,rarely,medium Scale,13,1,Yes,YES,1279
electricity,private,rarely,small Scale,5,0,No,YES,842
coal,private,very frequently,large Scale,19,1,Yes,YES,2654
natural gas,private,rarely,Mega Scale,13,1,Sometimes,YES,830
natural gas,public,rarely,large Scale,2,1,No,YES,1624
coal,public,rarely,medium Scale,16,2,Yes,YES,1439
coal,private,very frequently,small Scale,11,2,No,YES,2904
coal,private,very frequently,medium Scale,9,2,Sometimes,YES,4103
wood,private,rarely,small Scale,15,2,No,YES,1060
coal,private,very frequently,small Scale,7,1,Yes,YES,4203
coal,public,rarely,small Scale,19,0,Sometimes,YES,856
electricity,private,frequently,Mega Scale,4,2,No,YES,2433
coal,private,rarely,Mega Scale,5,0,No,YES,4483
electricity,public,rarely,small Scale,7,0,Yes,YES,1661
coal,public,rarely,medium Scale,5,0,No,YES,1484
natural gas,public,very frequently,small Scale,9,2,Yes,NO,2955
wood,private,rarely,medium Scale,16,2,Yes,YES,2590
wood,public,rarely,small Scale,0,2,Sometimes,YES,1166
natural gas,public,rarely,large Scale,13,1,No,YES,1742
natural gas,public,rarely,Mega Scale,0,0,Sometimes,YES,1628
electricity,public,rarely,large Scale,14,2,No,YES,2090
coal,public,rarely,medium Scale,5,2,Sometimes,YES,1327
coal,public,frequently,Mega Scale,18,0,Yes,YES,2673
electricity,private,rarely,large Scale,6,1,No,YES,2664
electricity,public,frequently,medium Scale,11,1,Sometimes,YES,1239
wood,private,rarely,Mega Scale,5,2,Sometimes,YES,2991
natural gas,private,rarely,medium Scale,0,1,Sometimes,YES,1688
coal,public,rarely,small Scale,7,2,Yes,YES,1563
natural gas,private,rarely,medium Scale,11,0,Sometimes,YES,3127
coal,public,very frequently,large Scale,0,2,Yes,YES,4095
coal,private,rarely,medium Scale,14,0,Yes,YES,2486
electricity,private,frequently,large Scale,9,1,No,YES,5082
wood,public,rarely,Mega Scale,2,2,Yes,YES,2160
coal,private,frequently,small Scale,2,1,No,YES,2091
electricity,public,rarely,Mega Scale,14,1,No,YES,1696
coal,private,rarely,small Scale,15,0,Yes,YES,1009
wood,private,rarely,small Scale,15,2,Yes,YES,2134
coal,public,rarely,small Scale,12,2,Yes,YES,2047
natural gas,private,rarely,large Scale,10,1,Sometimes,YES,2190
natural gas,private,rarely,small Scale,22,1,Yes,YES,1177
electricity,private,frequently,small Scale,16,2,Yes,YES,1814
electricity,private,rarely,medium Scale,6,2,Yes,YES,1284
coal,public,rarely,large Scale,15,0,Yes,YES,1839
electricity,public,rarely,large Scale,10,1,Sometimes,YES,1026
natural gas,private,rarely,large Scale,20,2,Yes,YES,2600
electricity,public,very frequently,Mega Scale,3,2,No,YES,2189
electricity,public,rarely,large Scale,17,2,Sometimes,NO,1500
wood,public,frequently,small Scale,16,1,Sometimes,YES,1685
coal,public,frequently,medium Scale,13,1,Sometimes,YES,1914
natural gas,private,rarely,Mega Scale,14,2,No,YES,2845
natural gas,private,rarely,large Scale,4,0,Sometimes,YES,2152
coal,private,very frequently,small Scale,5,1,Sometimes,YES,2577
coal,private,rarely,medium Scale,1,0,Yes,YES,4220
natural gas,public,rarely,large Scale,17,0,Yes,YES,1199
wood,public,frequently,large Scale,4,0,Sometimes,YES,1552
coal,private,very frequently,small Scale,9,0,Yes,YES,3294
coal,private,very frequently,small Scale,7,1,Sometimes,YES,3243
coal,public,rarely,Mega Scale,7,2,No,YES,1675
electricity,public,rarely,small Scale,6,1,No,NO,1304
electricity,public,very frequently,large Scale,13,1,No,YES,2878
electricity,private,rarely,large Scale,21,1,Yes,YES,1126
natural gas,public,rarely,large Scale,10,1,Sometimes,YES,1489
electricity,private,frequently,medium Scale,24,2,Yes,YES,1954
electricity,public,frequently,large Scale,0,1,Sometimes,YES,1957
natural gas,public,very frequently,Mega Scale,9,2,No,YES,3778
natural gas,public,very frequently,Mega Scale,24,1,Yes,YES,2069
coal,public,frequently,large Scale,6,2,No,YES,2421
electricity,public,very frequently,medium Scale,5,2,No,YES,2801
electricity,private,frequently,small Scale,19,2,Sometimes,YES,5547
natural gas,public,frequently,Mega Scale,22,1,No,YES,2343
natural gas,public,rarely,Mega Scale,0,1,No,YES,2232
coal,public,frequently,large Scale,12,2,No,YES,2309
wood,private,rarely,Mega Scale,11,0,No,YES,2233
wood,public,frequently,small Scale,20,0,Yes,YES,1419
coal,private,frequently,medium Scale,20,0,Yes,YES,2087
electricity,public,very frequently,large Scale,6,2,No,YES,2829
natural gas,public,very frequently,large Scale,16,2,Sometimes,YES,3057
coal,private,frequently,large Scale,10,0,Sometimes,YES,2337
natural gas,private,frequently,medium Scale,19,2,No,YES,1651
electricity,private,frequently,large Scale,7,1,Sometimes,YES,2214
electricity,private,frequently,medium Scale,6,0,No,YES,1402
wood,public,very frequently,small Scale,7,0,Sometimes,YES,2317
coal,private,rarely,medium Scale,9,2,Yes,YES,2027
natural gas,private,rarely,large Scale,2,1,Sometimes,YES,1543
wood,private,rarely,small Scale,24,0,Sometimes,YES,2522
electricity,private,rarely,large Scale,1,0,Sometimes,YES,3996
coal,public,very frequently,medium Scale,10,0,Yes,YES,2673
coal,private,rarely,small Scale,3,1,Yes,YES,2235
natural gas,public,rarely,large Scale,16,1,Yes,YES,1378
natural gas,private,very frequently,Mega Scale,4,2,Yes,YES,2939
electricity,private,very frequently,small Scale,9,0,Sometimes,YES,4311
coal,private,frequently,medium Scale,11,1,Sometimes,YES,2107
natural gas,private,rarely,Mega Scale,14,0,No,NO,3419
wood,private,rarely,small Scale,12,1,Yes,YES,3713
natural gas,private,frequently,large Scale,17,0,Sometimes,YES,1484
coal,private,rarely,Mega Scale,1,2,Sometimes,YES,2517
wood,public,frequently,medium Scale,19,0,No,YES,1890
coal,private,frequently,large Scale,10,2,Sometimes,NO,3071
coal,private,frequently,Mega Scale,15,1,No,YES,2073
coal,private,very frequently,Mega Scale,9,2,Yes,YES,2233
wood,private,rarely,Mega Scale,19,0,No,NO,1644
electricity,public,very frequently,medium Scale,15,0,No,YES,2957
natural gas,public,frequently,Mega Scale,6,1,No,YES,2278
coal,private,rarely,small Scale,22,1,Sometimes,NO,2813
wood,public,frequently,small Scale,3,2,No,YES,1983
wood,private,rarely,Mega Scale,16,0,Sometimes,YES,2779
electricity,public,very frequently,medium Scale,22,1,Yes,YES,2212
natural gas,public,very frequently,small Scale,7,1,Yes,NO,2910
coal,public,rarely,small Scale,20,1,Yes,YES,1051
natural gas,private,frequently,Mega Scale,6,1,Sometimes,YES,5044
natural gas,public,rarely,Mega Scale,23,2,Yes,YES,1595
coal,private,frequently,Mega Scale,24,2,Sometimes,YES,3745
coal,private,rarely,medium Scale,20,2,Sometimes,YES,3084
wood,private,frequently,Mega Scale,17,1,Yes,YES,2280
coal,public,very frequently,medium Scale,12,1,Yes,YES,3669
wood,public,very frequently,small Scale,17,0,Yes,YES,1724
electricity,public,rarely,small Scale,0,2,Sometimes,YES,1695
electricity,public,very frequently,small Scale,7,1,No,YES,2423
coal,private,frequently,large Scale,4,1,Sometimes,YES,2130
natural gas,private,rarely,large Scale,20,2,Sometimes,YES,2224
natural gas,private,very frequently,medium Scale,5,0,No,YES,3058
electricity,public,very frequently,small Scale,6,1,Yes,YES,1994
wood,private,rarely,large Scale,3,2,Yes,YES,1605
natural gas,public,rarely,Mega Scale,16,1,Sometimes,YES,1751
natural gas,public,frequently,Mega Scale,9,0,Sometimes,YES,2405
natural gas,public,frequently,Mega Scale,4,0,Yes,YES,1941
coal,public,rarely,Mega Scale,10,0,Sometimes,YES,2195
electricity,public,frequently,small Scale,17,2,Yes,YES,2106
coal,public,rarely,Mega Scale,11,2,Sometimes,YES,2516
electricity,private,rarely,Mega Scale,4,2,Sometimes,YES,2956
natural gas,public,frequently,large Scale,10,2,No,YES,1678
electricity,private,rarely,large Scale,15,1,No,YES,4357
coal,private,frequently,small Scale,5,1,No,YES,2249
natural gas,private,rarely,small Scale,11,0,Yes,YES,776
electricity,public,frequently,Mega Scale,23,2,Sometimes,YES,2794
coal,private,rarely,Mega Scale,14,2,Sometimes,YES,1939
coal,private,frequently,Mega Scale,4,0,No,YES,2250
electricity,public,rarely,large Scale,16,0,Sometimes,YES,1155
electricity,public,rarely,medium Scale,6,0,Yes,YES,1203
natural gas,private,very frequently,small Scale,23,0,Yes,YES,4031
wood,public,very frequently,Mega Scale,13,0,Sometimes,YES,2364
wood,public,very frequently,medium Scale,19,0,Yes,YES,2446
coal,private,frequently,large Scale,16,1,Sometimes,YES,4445
electricity,public,rarely,medium Scale,8,2,No,YES,1202
natural gas,public,frequently,Mega Scale,15,0,Yes,YES,1670
coal,private,very frequently,large Scale,3,1,No,YES,5133
electricity,public,very frequently,Mega Scale,17,0,No,YES,2698
electricity,public,rarely,Mega Scale,18,1,No,YES,2092
electricity,private,rarely,large Scale,12,1,Yes,YES,1086
coal,public,very frequently,large Scale,13,1,No,YES,2835
coal,public,rarely,large Scale,21,1,Sometimes,YES,987
natural gas,private,rarely,medium Scale,8,1,Yes,YES,1790
natural gas,private,very frequently,large Scale,13,2,No,YES,6621
wood,public,frequently,medium Scale,22,1,Yes,YES,1749
coal,public,very frequently,large Scale,24,1,No,YES,2721
natural gas,private,rarely,large Scale,22,1,No,YES,1900
coal,public,frequently,large Scale,8,0,No,YES,1756
electricity,private,frequently,Mega Scale,18,0,Sometimes,YES,1449
wood,public,rarely,Mega Scale,13,1,Sometimes,YES,1400
coal,public,rarely,small Scale,18,1,No,YES,1441
electricity,private,very frequently,large Scale,13,2,Sometimes,YES,4031
electricity,private,rarely,small Scale,11,2,Sometimes,YES,1284
natural gas,private,frequently,small Scale,12,2,No,YES,1733
wood,private,rarely,large Scale,11,2,Sometimes,YES,1645
natural gas,public,rarely,Mega Scale,19,1,Sometimes,YES,1374
electricity,public,very frequently,small Scale,1,0,Yes,YES,1674
wood,public,very frequently,medium Scale,22,2,Sometimes,YES,2811
natural gas,public,rarely,small Scale,19,0,No,YES,1007
wood,public,frequently,small Scale,4,0,No,YES,1466
electricity,public,frequently,Mega Scale,18,2,Yes,YES,2173
electricity,public,frequently,Mega Scale,16,2,No,YES,2420
coal,private,rarely,large Scale,19,1,No,YES,1660
coal,private,very frequently,small Scale,7,2,Yes,YES,3973
wood,private,rarely,medium Scale,12,2,Yes,YES,1387
coal,private,very frequently,Mega Scale,6,1,Yes,YES,6810
wood,public,frequently,small Scale,14,0,No,YES,1130
natural gas,private,rarely,Mega Scale,21,2,No,YES,2393
natural gas,private,rarely,medium Scale,12,2,No,YES,2038
coal,public,rarely,small Scale,19,1,Sometimes,YES,1652
wood,public,frequently,small Scale,1,0,No,YES,1475
natural gas,public,rarely,medium Scale,1,1,Sometimes,NO,1867
wood,public,rarely,Mega Scale,17,2,No,YES,1467
wood,public,rarely,large Scale,15,2,Sometimes,YES,1873
natural gas,public,very frequently,large Scale,21,0,No,YES,2212
coal,public,very frequently,medium Scale,4,1,Sometimes,YES,3044
wood,public,rarely,large Scale,0,2,Sometimes,NO,1795
coal,public,rarely,medium Scale,6,1,Yes,YES,2059
wood,public,frequently,Mega Scale,5,0,Sometimes,YES,1681
natural gas,public,rarely,large Scale,12,2,Yes,YES,1624
electricity,public,very frequently,medium Scale,13,1,Sometimes,YES,2333
wood,private,very frequently,large Scale,14,0,Yes,YES,3171
coal,private,rarely,large Scale,13,2,Sometimes,YES,3492
coal,public,rarely,small Scale,10,2,Yes,YES,1526
electricity,public,rarely,Mega Scale,5,1,Yes,YES,1311
natural gas,public,frequently,medium Scale,20,2,Sometimes,YES,2570
natural gas,public,frequently,Mega Scale,21,2,Yes,YES,2474
natural gas,public,rarely,medium Scale,13,2,Sometimes,YES,1404
coal,private,rarely,Mega Scale,5,1,No,YES,4612
wood,public,very frequently,large Scale,8,2,Yes,NO,2911
